unit,treated_group,year,post,outcome
T00,1,2017,0,50.00369046007245
T00,1,2018,0,51.896236612525406
T00,1,2019,1,56.17758643391335
T00,1,2020,1,55.32822448372818
T01,1,2017,0,48.635987644484835
T01,1,2018,0,48.025060335010615
T01,1,2019,1,57.18043080779231
T01,1,2020,1,62.0206457366636
T02,1,2017,0,48.52338044434601
T02,1,2018,0,49.13857530054018
T02,1,2019,1,58.469526150555595
T02,1,2020,1,59.07066102448018
T03,1,2017,0,50.316242746993694
T03,1,2018,0,48.20859586587539
T03,1,2019,1,56.91224453261018
T03,1,2020,1,60.085909583374864
T04,1,2017,0,45.967356358144755
T04,1,2018,0,49.627152716879344
T04,1,2019,1,51.29633178059747
T04,1,2020,1,54.13138678064507
T05,1,2017,0,44.47479488662481
T05,1,2018,0,50.29472660677595
T05,1,2019,1,53.19766055566889
T05,1,2020,1,58.8137930764651
T06,1,2017,0,50.47025325987268
T06,1,2018,0,50.43920716611014
T06,1,2019,1,49.44972086753846
T06,1,2020,1,56.38392131246009
T07,1,2017,0,49.854497163796786
T07,1,2018,0,51.339926958009926
T07,1,2019,1,52.40959270348382
T07,1,2020,1,56.56674017189821
T08,1,2017,0,47.06444276583008
T08,1,2018,0,48.5734882817232
T08,1,2019,1,60.182695870158234
T08,1,2020,1,55.57739597400431
T09,1,2017,0,49.90243488516344
T09,1,2018,0,53.653169602149525
T09,1,2019,1,55.24919870177009
T09,1,2020,1,57.66489415124752
T10,1,2017,0,50.33139242974844
T10,1,2018,0,51.19134532276519
T10,1,2019,1,53.324832520746924
T10,1,2020,1,58.22842069113103
T11,1,2017,0,54.076470265224614
T11,1,2018,0,46.35856596561455
T11,1,2019,1,59.57814806406479
T11,1,2020,1,58.35806207708974
T12,1,2017,0,48.07558881767834
T12,1,2018,0,57.001249639027264
T12,1,2019,1,59.28677913625413
T12,1,2020,1,54.40213329368433
T13,1,2017,0,50.22354868631439
T13,1,2018,0,52.730068751010556
T13,1,2019,1,56.433653623947755
T13,1,2020,1,60.04873080158562
T14,1,2017,0,49.80044803955175
T14,1,2018,0,53.001742682502986
T14,1,2019,1,61.31556777496846
T14,1,2020,1,55.973013246983044
T15,1,2017,0,50.609415831168825
T15,1,2018,0,49.61007727038476
T15,1,2019,1,57.38180523367749
T15,1,2020,1,54.43841641644958
T16,1,2017,0,48.26209521049198
T16,1,2018,0,50.41141208158651
T16,1,2019,1,59.696291616301224
T16,1,2020,1,61.4356660223624
T17,1,2017,0,46.02941662254724
T17,1,2018,0,48.61607290203885
T17,1,2019,1,58.94071026772026
T17,1,2020,1,52.02274064747652
T18,1,2017,0,48.6104904051429
T18,1,2018,0,50.708139222989736
T18,1,2019,1,60.77104493186046
T18,1,2020,1,60.068211701712265
T19,1,2017,0,49.018359739333405
T19,1,2018,0,49.89427231770012
T19,1,2019,1,56.24941379844623
T19,1,2020,1,62.57058820136848
C00,0,2017,0,48.7159251722814
C00,0,2018,0,50.08895883490581
C00,0,2019,1,53.057767201855796
C00,0,2020,1,52.63768866474064
C01,0,2017,0,49.408147316102834
C01,0,2018,0,47.65779857054683
C01,0,2019,1,51.96543559588436
C01,0,2020,1,51.669256331076745
C02,0,2017,0,53.49838332857067
C02,0,2018,0,52.95926550810349
C02,0,2019,1,51.9275691609702
C02,0,2020,1,55.00514306980203
C03,0,2017,0,48.98039134486055
C03,0,2018,0,54.15637907528084
C03,0,2019,1,51.98380131798512
C03,0,2020,1,54.750147062541245
C04,0,2017,0,46.127320264029535
C04,0,2018,0,52.04004014663529
C04,0,2019,1,46.93538764790038
C04,0,2020,1,46.894013165180205
C05,0,2017,0,49.08656936686569
C05,0,2018,0,48.30021717720422
C05,0,2019,1,52.49215838713667
C05,0,2020,1,59.73426987945815
C06,0,2017,0,47.50483045576375
C06,0,2018,0,49.128169240668285
C06,0,2019,1,52.6162118381941
C06,0,2020,1,54.47903987423707
C07,0,2017,0,49.47078180228272
C07,0,2018,0,50.38220900924035
C07,0,2019,1,54.107388865361635
C07,0,2020,1,54.559722911101694
C08,0,2017,0,46.898972503778936
C08,0,2018,0,50.76245604415247
C08,0,2019,1,52.10586054598442
C08,0,2020,1,49.83654613385267
C09,0,2017,0,50.77951730202309
C09,0,2018,0,48.42613056847037
C09,0,2019,1,54.916200123751125
C09,0,2020,1,53.578237737815215
C10,0,2017,0,50.26791945730715
C10,0,2018,0,49.226914941431176
C10,0,2019,1,51.64417052836692
C10,0,2020,1,47.006761121278835
C11,0,2017,0,46.605777588430826
C11,0,2018,0,52.088519397566266
C11,0,2019,1,45.61429887453357
C11,0,2020,1,55.53982556444349
C12,0,2017,0,44.761710573878275
C12,0,2018,0,53.2702155079928
C12,0,2019,1,49.463508901362026
C12,0,2020,1,55.33697325302738
C13,0,2017,0,50.3928536227544
C13,0,2018,0,46.38949517912553
C13,0,2019,1,55.74744624867537
C13,0,2020,1,57.325121466567836
C14,0,2017,0,49.80258528199938
C14,0,2018,0,50.17825118348304
C14,0,2019,1,51.52039910208809
C14,0,2020,1,50.074543031663765
C15,0,2017,0,53.29576027927075
C15,0,2018,0,49.37132420480944
C15,0,2019,1,51.84642876192497
C15,0,2020,1,50.62011079039087
C16,0,2017,0,48.12178070083941
C16,0,2018,0,47.16682454504649
C16,0,2019,1,55.771207941143174
C16,0,2020,1,52.53773728038196
C17,0,2017,0,52.89776485618643
C17,0,2018,0,51.03997379073978
C17,0,2019,1,49.91678941689132
C17,0,2020,1,52.01994421999324
C18,0,2017,0,48.3193068484913
C18,0,2018,0,51.02387729755474
C18,0,2019,1,50.87419948096913
C18,0,2020,1,52.10023485217461
C19,0,2017,0,45.86427594759226
C19,0,2018,0,48.57946221713664
C19,0,2019,1,56.96217264640129
C19,0,2020,1,50.98630035124485
